2024-10-16 19:17:38,804 | INFO | root | Добавлено слово картинок: картинок, количество: 1
2024-10-16 19:17:38,881 | INFO | root | Добавлена связь Word (2106) - Image ([19]): , (<Word_Image: 2146>, True)
2024-10-16 19:17:38,881 | INFO | root | Добавлено слово искусственный: искусственный, количество: 1
2024-10-16 19:17:38,940 | INFO | root | Добавлена связь Word (2107) - Image ([19]): , (<Word_Image: 2147>, True)
2024-10-16 19:17:38,940 | INFO | root | Добавлено слово интеллект: интеллект, количество: 1
2024-10-16 19:17:38,999 | INFO | root | Добавлена связь Word (2108) - Image ([19]): , (<Word_Image: 2148>, True)
2024-10-16 19:17:38,999 | INFO | root | Добавлено слово покоряет: покоряет, количество: 1
2024-10-16 19:17:39,065 | INFO | root | Добавлена связь Word (2109) - Image ([19]): , (<Word_Image: 2149>, True)
2024-10-16 19:17:39,065 | INFO | root | Добавлено слово мир: мир, количество: 1
2024-10-16 19:17:39,132 | INFO | root | Добавлена связь Word (2110) - Image ([20]): , (<Word_Image: 2150>, True)
2024-10-16 19:17:39,132 | INFO | root | Добавлено слово маленький: маленький, количество: 1
2024-10-16 19:17:39,199 | INFO | root | Добавлена связь Word (2111) - Image ([20]): , (<Word_Image: 2151>, True)
2024-10-16 19:17:39,199 | INFO | root | Добавлено слово котик: котик, количество: 1
2024-10-16 19:17:39,265 | INFO | root | Добавлена связь Word (2112) - Image ([20]): , (<Word_Image: 2152>, True)
2024-10-16 19:17:39,265 | INFO | root | Добавлено слово британской: британской, количество: 1
2024-10-16 19:17:39,332 | INFO | root | Добавлена связь Word (2113) - Image ([20]): , (<Word_Image: 2153>, True)
2024-10-16 19:17:39,332 | INFO | root | Добавлено слово породы: породы, количество: 1
2024-10-16 19:17:39,399 | INFO | root | Добавлена связь Word (2114) - Image ([21]): , (<Word_Image: 2154>, True)
2024-10-16 19:17:39,399 | INFO | root | Добавлено слово бегущий: бегущий, количество: 1
2024-10-16 19:17:39,465 | INFO | root | Добавлена связь Word (2115) - Image ([21]): , (<Word_Image: 2155>, True)
2024-10-16 19:17:39,465 | INFO | root | Добавлено слово по: по, количество: 1
2024-10-16 19:17:39,532 | INFO | root | Добавлена связь Word (2116) - Image ([21]): , (<Word_Image: 2156>, True)
2024-10-16 19:17:39,532 | INFO | root | Добавлено слово лавандовому: лавандовому, количество: 1
2024-10-16 19:17:39,599 | INFO | root | Добавлена связь Word (2117) - Image ([21]): , (<Word_Image: 2157>, True)
2024-10-16 19:17:39,599 | INFO | root | Добавлено слово полю: полю, количество: 1
2024-10-16 19:17:39,665 | INFO | root | Добавлена связь Word (2118) - Image ([21]): , (<Word_Image: 2158>, True)
2024-10-16 19:17:39,665 | INFO | root | Добавлено слово человек: человек, количество: 1
2024-10-16 19:17:39,732 | INFO | root | Добавлена связь Word (2119) - Image ([28]): , (<Word_Image: 2159>, True)
2024-10-16 19:17:39,732 | INFO | root | Добавлено слово что-то: что-то, количество: 1
2024-10-16 19:17:39,799 | INFO | root | Добавлена связь Word (2120) - Image ([28]): , (<Word_Image: 2160>, True)
2024-10-16 19:17:39,799 | INFO | root | Добавлено слово новенькое: новенькое, количество: 1
2024-10-16 19:17:39,903 | INFO | root | Добавлена связь Word (2121) - Image ([29]): , (<Word_Image: 2161>, True)
2024-10-16 19:17:39,903 | INFO | root | Добавлено слово кандинский: кандинский, количество: 1
2024-10-16 19:17:39,962 | INFO | root | Добавлена связь Word (2122) - Image ([29]): , (<Word_Image: 2162>, True)
2024-10-16 19:17:39,962 | INFO | root | Добавлено слово снова: снова, количество: 1
2024-10-16 19:17:40,020 | INFO | root | Добавлена связь Word (2123) - Image ([29]): , (<Word_Image: 2163>, True)
2024-10-16 19:17:40,020 | INFO | root | Добавлено слово заработал: заработал, количество: 1
2024-10-16 19:17:40,078 | INFO | root | Добавлена связь Word (2124) - Image ([29]): , (<Word_Image: 2164>, True)
2024-10-16 19:17:40,078 | INFO | root | Добавлено слово а: а, количество: 1
2024-10-16 19:17:40,137 | INFO | root | Добавлена связь Word (2125) - Image ([29]): , (<Word_Image: 2165>, True)
2024-10-16 19:17:40,137 | INFO | root | Добавлено слово я: я, количество: 1
2024-10-16 19:17:40,195 | INFO | root | Добавлена связь Word (2126) - Image ([29]): , (<Word_Image: 2166>, True)
2024-10-16 19:17:40,195 | INFO | root | Добавлено слово хотела: хотела, количество: 1
2024-10-16 19:17:40,254 | INFO | root | Добавлена связь Word (2127) - Image ([29]): , (<Word_Image: 2167>, True)
2024-10-16 19:17:40,254 | INFO | root | Добавлено слово доработать: доработать, количество: 1
2024-10-16 19:17:40,312 | INFO | root | Добавлена связь Word (2128) - Image ([29]): , (<Word_Image: 2168>, True)
2024-10-16 19:17:40,312 | INFO | root | Добавлено слово программу: программу, количество: 1
2024-10-16 19:17:40,407 | INFO | root | Добавлена связь Word (2129) - Image ([29, 39]): , (<Word_Image: 2169>, True), (<Word_Image: 2170>, True)
2024-10-16 19:17:40,407 | INFO | root | Добавлено слово на: на, количество: 1
2024-10-16 19:17:40,472 | INFO | root | Добавлена связь Word (2130) - Image ([29]): , (<Word_Image: 2171>, True)
2024-10-16 19:17:40,472 | INFO | root | Добавлено слово обработку: обработку, количество: 1
2024-10-16 19:17:40,540 | INFO | root | Добавлена связь Word (2131) - Image ([29]): , (<Word_Image: 2172>, True)
2024-10-16 19:17:40,540 | INFO | root | Добавлено слово ошибок: ошибок, количество: 1
